france,1300000,NA,NA,NA,NA,NA,250000,NA,NA,240000,260000,260000,280000,290000,275000,275000,275000,282500,275000,275000,300000,370000
french guiana,NA,NA,NA,NA,NA,NA,50,NA,NA,0,NA,50,NA,NA,50,NA,NA,0,NA,NA,NA,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
french overseas departments listed separately,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
french overseas departments listed separately (west. hemisphere),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
french somaliland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
french territory of the afars and issas (ftai),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA
gabon,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
gambia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
gambia (british colony and protectorate),NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
german democratic republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1893594,NA,NA,1951421,1946000
germany (combined),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
germany (federal republic of germany),NA,NA,NA,NA,NA,NA,NA,NA,NA,42500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
germany (german democratic republic and east berlin),NA,NA,NA,NA,NA,NA,NA,NA,NA,1610000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
germany (west berlin),NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"germany, east",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1610679,1610679,1610679,1610679,1769912,1769912,1769900,NA,1909800,1909800,NA,NA
"germany, federal republic of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33400,35000,NA,NA
"germany, west",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50000,50000,10000,7000,7000,7000,8000,NA,NA,NA,NA,NA
ghana,NA,NA,NA,NA,NA,NA,50,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
great britain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33452,NA,NA,29943,28943
greece,250000,NA,NA,NA,NA,NA,20000,NA,NA,20000,20000,20000,20000,27000,27000,27000,28000,33750,28000,28000,42000,100000
guadeloupe,NA,NA,NA,NA,NA,NA,3000,NA,NA,1000,1000,1000,1000,1000,1150,1300,1500,1500,2000,3000,3000,3000
guatemala,NA,1000,1000,1000,1000,1200,1200,1000,1100,1175,1300,1200,1000,875,750,750,750,800,750,750,850,900
"guiana, british",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"guiana, french",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA
guinea,NA,NA,NA,NA,NA,NA,50,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
